,nn2,nn16,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_Prime_Ligand_efficiency_ln,lig_C,lig_HD,as_flex_all,AlogP,predicted_score
46,0.639,3.19,-22.2993386412891,-1.5124918691051497,-22.299338641332692,-1.5124918691051596,-6.562691563746822,4.0,0.0,37.0,2.2491,0.7834455886839515
47,-0.08900000000000001,8.326,-32.4176386622858,-1.4036461720498898,-32.417638662293,-1.4036461720498898,-9.302297570655966,3.0,0.0,39.0,2.3124,2.9493075216320634
48,0.003,2.385,-14.2629931531847,-1.4103613196125595,-14.2629931550473,-1.4103613196125502,-4.19759645547822,4.0,0.0,34.0,2.2491,0.25701923259049925
49,1.287,3.89,-28.017109100801505,-0.7423284159101939,-28.0171091007614,-0.742328415910208,-8.48338750157738,3.0,0.0,30.0,1.5904,0.0
50,2.658,-0.514,-15.7554236339311,1.4210854715202e-14,-15.7554236339711,0.0,-4.92784390111806,8.0,0.0,29.0,1.8745,0.5567892955248986
51,2.4419999999999997,0.034,-21.060083524324,-1.5654533490600402,-21.060083526186602,-1.5654533490600202,-5.90754072852246,4.0,1.0,40.0,1.5091,0.0
52,1.8219999999999998,4.221,-30.601698060847397,-1.98563860610933,-30.601698060858297,-1.98563860610935,-8.252773398739619,1.0,2.0,28.0,1.7573,1.7694100085000248
53,-0.484,3.2969999999999997,-26.234763063242998,-1.84243105403431,-26.234763063217503,-1.84243105403431,-7.209219500264559,1.0,0.0,30.0,2.5039,0.5775328848292445
54,9.277000000000001,7.469999999999998,-20.906778180971692,-2.10727959063254,-20.906778182834397,-2.10727959063253,-5.37397952741609,2.0,0.0,27.0,3.4462,0.0
55,0.38799999999999996,-0.9490000000000001,-16.572793447638098,1.4210854715202e-14,-16.5727934476818,0.0,-5.6256954927673615,5.0,1.0,22.0,-0.4138,0.0
56,2.301,-0.619,-22.6995139648316,-4.2632564145606005e-14,-22.699513964842506,0.0,-7.09975587130753,8.0,0.0,29.0,1.8745,0.0
57,-0.638,4.888,-42.719634599681704,-3.5313776043744305,-42.719634599681704,-3.5313776043744305,-11.739203516257401,1.0,0.0,43.0,2.5039,7.8477897847455935
58,1.172,2.351,-25.3507092307045,-1.4211296718547402,-25.3507092307154,-1.4211296718547601,-6.96628465410429,7.0,0.0,33.0,3.1092,2.2166617339024417
59,-0.078,6.0379999999999985,-29.762150391576096,-1.4060664713577602,-29.7621503916198,-1.4060664713577802,-8.54030061131958,4.0,0.0,42.0,2.5228,1.050432183268354
60,-1.3840000000000001,2.439,-22.9658077528184,-1.2854512898619,-22.9658077527783,-1.2854512898618502,-7.4577833162212,6.0,0.0,31.0,0.3302,4.573699448794452
61,6.505,0.402,-17.5690460237747,-1.3889467337410701,-17.5690460237747,-1.38894673374109,-4.51603268713726,2.0,0.0,32.0,3.4462,0.0
62,2.327,3.509,-28.691811045777307,-0.6093529575374388,-28.691811045788196,-0.609352957537396,-7.884407539358758,6.0,2.0,20.0,-0.1573,0.5765796177935428
63,0.44799999999999995,-1.137,-19.9786776429792,-4.2632564145606005e-14,-19.978677642990093,0.0,-6.781835369074599,4.0,0.0,29.0,-0.9683,0.0
64,-0.7490000000000001,2.508,-31.421546023670093,-1.4129125942530898,-31.4215460236446,-1.41291259425313,-9.24735564253944,4.0,0.0,39.0,2.2491,3.5730333646443433
65,0.706,-0.551,-10.701498967438999,1.4210854715202e-14,-10.7014989674826,0.0,-3.63266305690643,4.0,0.0,24.0,-0.9683,0.0
66,3.511,4.375,-31.652087176698803,-1.5086730503686696,-31.652087176673398,-1.5086730503686696,-7.7369246439170505,10.0,1.0,33.0,0.8557,0.0
67,0.67,2.7030000000000003,-27.5982483119915,-1.4076494096065801,-27.598248312002397,-1.40764940960659,-7.741554099282669,4.0,1.0,46.0,1.5091,0.0
68,1.222,3.806,-27.501495579817906,-0.745876852862409,-27.50149557985789,-0.745876852862409,-8.327263281772291,3.0,0.0,30.0,1.5904,0.0
69,-0.064,0.07,-28.4321862170982,-1.3364757700429697,-28.4321862171382,-1.33647577004298,-7.8130635606403604,6.0,2.0,27.0,-0.1573,0.0
70,1.137,-0.28,-21.1829090350111,-1.2965364377865298,-21.1829090349711,-1.29653643778657,-6.078472442382281,5.0,0.0,27.0,2.3859,0.3754684522737795
71,1.29,-0.33899999999999997,-18.0614386116104,-1.2029161469490801,-18.061438611654,-1.20291614694909,-5.1827610971183695,5.0,0.0,25.0,2.3859,0.3589692992651907
72,1.021,-0.33,-19.470337743652607,-0.4867137299868179,-19.470337743678094,-0.48671372998683204,-5.46160289848176,5.0,0.0,24.0,2.0958,0.3540315861303806
73,9.899,5.386,-25.841464438013602,-1.4125462852293502,-25.84146443804641,-1.41254628522931,-7.415252985208559,2.0,0.0,34.0,1.9278,1.8172765126807628
74,0.594,-0.045,-29.6286583042238,-1.1244546731306302,-29.628658304180107,-1.1244546731306102,-8.719709092100072,4.0,0.0,45.0,2.2491,0.5250379708484729
75,0.9620000000000001,-0.305,-29.437469002303292,-1.03976867689541,-29.437469002303292,-1.03976867689541,-8.66344211311131,4.0,0.0,39.0,2.2491,3.332429316505503
76,1.358,-0.52,-28.159419759370998,-1.33940443271311,-28.159419759370603,-1.33940443271314,-7.898967681106749,5.0,0.0,46.0,3.063,4.614521323015087
77,-0.311,2.215,-40.900075736553795,-3.17390932352994,-40.90007573652839,-3.1739093235299802,-11.0300760557115,1.0,0.0,44.0,3.1683,8.12117438874495
78,-1.126,2.7230000000000003,-23.5787511222842,-1.3387879184445801,-23.5787511222838,-1.33878791844461,-6.939222438973429,4.0,0.0,38.0,2.2491,0.39573786669620176
